Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 22:08:52,30-08-2024 22:08:53,0.263s,PASSED
"verifyElementText(findTestObject(""login_page/errorLoginInvalidEmail_message""), ""Find your account and log in."")",Chrome 128.0.0.0,,,30-08-2024 22:08:53,30-08-2024 22:08:54,1.505s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 22:08:54,30-08-2024 22:08:54,0.090s,PASSED
,,,,,,,
Test Cases/TC004_positiveLoginWithEmail,Chrome 128.0.0.0,,,30-08-2024 22:08:54,30-08-2024 22:09:01,7.272s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,30-08-2024 22:08:54,30-08-2024 22:08:55,0.659s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,30-08-2024 22:08:55,30-08-2024 22:08:55,0.331s,PASSED
"navigateToUrl(""https://www.facebook.com/"")",Chrome 128.0.0.0,,,30-08-2024 22:08:55,30-08-2024 22:08:56,0.870s,PASSED
"setText(findTestObject(""Object Repository/login_page/emailOrPhonenumber_editText""), ""archi.testdot@gmail.com"")",Chrome 128.0.0.0,,,30-08-2024 22:08:56,30-08-2024 22:08:57,0.551s,PASSED
"setEncryptedText(findTestObject(""Object Repository/login_page/password_editText""), ""NuQQQJrw1QYJLPWAfKR2Qg=="")",Chrome 128.0.0.0,,,30-08-2024 22:08:57,30-08-2024 22:08:57,0.272s,PASSED
"click(findTestObject(""Object Repository/login_page/login_button""))",Chrome 128.0.0.0,,,30-08-2024 22:08:57,30-08-2024 22:08:57,0.463s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/home_page/search_field""), 0)",Chrome 128.0.0.0,,,30-08-2024 22:08:57,30-08-2024 22:09:01,3.990s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,30-08-2024 22:09:01,30-08-2024 22:09:01,0.105s,PASSED
